Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,WeightedAverage,Time

33,209,1000,84,0,42,1903,3887

33,65,900,533,0,42,2312,3990

29,0,138,1000,172,37,3025,4093

33,65,984,440,0,42,2251,4198

33,0,646,720,0,42,2527,4301

33,137,1000,169,0,0,2024,4404

0,65,1000,169,0,0,2084,4507

0,0,738,635,0,0,2462,4610

0,0,738,542,0,0,2423,4713

0,0,400,1000,0,0,2714,4816

0,65,1000,169,0,0,2084,4919

0,65,1000,262,0,0,2148,5022

0,0,646,720,0,0,2527,5125

33,137,1000,169,0,0,2024,5228

0,71,1000,262,0,0,2143,5331

0,0,561,728,0,48,2564,5435

0,71,1000,177,0,0,2084,5538

0,65,1000,262,0,42,2148,5641

0,0,400,915,0,0,2695,5744

0,71,1000,262,0,0,2143,5847

0,0,907,542,0,42,2374,5950

0,0,230,1000,81,42,2886,6053

0,0,823,542,0,0,2397,6156

0,0,400,1000,0,0,2714,6259

33,65,1000,347,0,42,2199,6362

0,0,569,822,0,0,2590,6465

0,65,1000,262,0,0,2148,6568

0,0,569,822,0,0,2590,6672

33,65,1000,262,0,0,2148,6775

33,0,730,720,0,0,2496,6878

0,0,230,1000,81,42,2886,6981

0,0,484,915,0,0,2654,7084

0,143,1000,84,0,0,1951,7187

0,0,1000,355,0,0,2261,7290

0,0,146,1000,181,42,3026,7393

0,0,315,1000,81,0,2832,7496

33,65,1000,262,0,42,2148,7599

33,0,476,1000,81,42,2746,7702

33,65,1000,347,0,42,2199,7805

33,0,392,1000,81,42,2788,7909

0,0,907,449,0,0,2331,8012

0,0,230,1000,81,0,2886,8115

0,0,646,720,0,0,2527,8218

0,0,1000,355,0,0,2261,8321

0,0,146,1000,281,42,3094,8424

0,0,153,1000,81,0,2941,8527

0,0,738,542,0,0,2423,8630

0,0,61,1000,381,42,3221,8733

0,0,146,1000,281,42,3094,8836

33,0,400,1000,0,42,2714,8939

33,65,1000,262,0,42,2148,9042

33,0,315,1000,81,42,2832,9146

33,0,561,906,0,42,2617,9249

33,65,1000,262,0,42,2148,9352

33,0,392,1000,81,42,2788,9456

33,0,730,627,0,42,2462,9559

0,0,315,1000,81,42,2832,9662

0,0,1000,449,0,0,2309,9765

0,0,400,1000,81,42,2784,9868

1000,1000,1000,1000,1000,1000,2500,9971

1000,1000,1000,1000,1000,1000,2500,10075

1000,1000,1000,1000,1000,1000,2500,10179